# USDT/VES Historical Rate Dataset
# Source: usdt.com.ve
# License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
# Generated: 2026-08-28T17:01:23.683Z
# Citation: usdt.com.ve, "USDT/VES Historical Rate Dataset", retrieved 2026-08-28, https://www.usdt.com.ve/datos
# Columns: captured_at (ISO 8601 UTC), source (binance|bybit|bcv), buy_rate (Bs. per USD/USDT), sell_rate (Bs., null for BCV)
captured_at,source,buy_rate,sell_rate
2026-01-18T05:00:30.851875+00:00,bcv,344.51,
2026-01-18T05:05:30.990245+00:00,bcv,344.51,
2026-01-18T05:05:30.990245+00:00,bybit,454.8,442.5025
2026-01-18T05:05:30.990245+00:00,binance,453,450.4075
2026-01-18T05:10:31.082808+00:00,bybit,455.55,442.5025
2026-01-18T05:10:31.082808+00:00,binance,453,450.4075
2026-01-18T05:10:31.082808+00:00,bcv,344.51,
2026-01-18T05:15:31.204965+00:00,binance,453,450.375
2026-01-18T05:15:31.204965+00:00,bybit,455.55,442.65
2026-01-18T05:15:31.204965+00:00,bcv,344.51,
